Publisher	Dataset Name	Link	Facet 1	Facet 2
Gambling Commission	List of Licensed Premises	http://www.data.gov.uk/dataset/licensed-gambling-premises	Society and Culture	Location
Gambling Commission	Operator License Register	http://www.data.gov.uk/dataset/operator-licence-register	Society and Culture	Location
English Heritage	Protected Sites Service 	http://www.data.gov.uk/dataset/english-heritage-protected-sites-service	Society and Culture	Location
English Heritage	Blue Plaques (English Heritage) 	http://www.data.gov.uk/dataset/blue-plaques	Society and Culture	Location
Tate	Collections	http://www.data.gov.uk/dataset/collections-database	Society and Culture	Location
The British Museum	Collections Online 	http://www.data.gov.uk/dataset/collections-online	Society and Culture	Location
The British Museum	Treasure Data 	http://www.data.gov.uk/dataset/treasure-data	Society and Culture	Location
Victoria & Albert Museum	Collections	http://data.gov.uk/dataset/search-the-collections	Society and Culture	
Natural History Museum	Collections	http://data.gov.uk/dataset/collections	Society and Culture	Location
Department for Culture, Media and Sport	Government Art Collection	http://www.data.gov.uk/dataset/government-art-collection	Society and Culture	Location
Sport England	Market Segmentation	http://www.data.gov.uk/dataset/market-segmentation	Society and Culture	Location
Sport England	Active Places  (Sport England)	http://data.gov.uk/dataset/active-places	Society and Culture	Location
Sport England	Spogo	http://data.gov.uk/dataset/spogo	Society and Culture	Location
Foreign and Commonwealth Office	UK Foreign Post locations 	 http://data.gov.uk/dataset/uk-foreign-post-locations	Other e.g. Defence, International Relations	Location
Ministry of Defence	Estates Information	http://www.data.gov.uk/dataset/estates-information	Other e.g. Defence, International Relations	Location
Ministry of Defence	Byelaws	http://www.data.gov.uk/dataset/byelaws	Other e.g. Defence, International Relations	Operational
Ministry of Defence	Wrecks database	http://www.data.gov.uk/dataset/wrecks-database	Other e.g. Defence, International Relations	Location
Ministry of Defence	UK international boundaries	http://data.gov.uk/dataset/uk-international-boundaries	Other e.g. Defence, International Relations	Location
Ministry of Defence	UK continental shelf 	http://data.gov.uk/dataset/uk-continental-shelf	Other e.g. Defence, International Relations	Location
Ministry of Justice	Freedom of Information Act 2000: statistics on implementation in central government 	http://data.gov.uk/dataset/freedom_of_information_act_2000-statistics_on_implementation_in_central_government	Government Accountability and Democracy	Performance and Delivery
Her Majesty's Treasury	Public Spending Statistics	http://data.gov.uk/dataset/public_spending_statistics	Government Accountability and Democracy	Performance and Delivery
HMG	Departmental Energy Consumption (all depts.)	http://data.gov.uk/data/search?q=Real+time+energy+use	Government Accountability and Democracy	Performance and Delivery
Her Majesty's Treasury	Public Sector Finances 	http://data.gov.uk/dataset/public_sector_finances	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Government Transactional Services	http://data.gov.uk/dataset/government-transactional-services	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Business Plans for Central Government Departments	http://data.gov.uk/dataset/business-plans-for-central-government-departments	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Government construction performance data	http://data.gov.uk/dataset/govt-construction-strategy-performance-data	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Governmentís major projects data 	http://data.gov.uk/dataset/government-s-major-projects-data	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Commercial and market intelligence of key suppliers to government	http://data.gov.uk/dataset/commercial-and-market-intelligence-of-key-suppliers-to-government	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Mutuals supported by the mutuals support programme 	http://data.gov.uk/dataset/mutuals-supported-by-the-mutuals-support-programme-august-2012	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	Govt construction strategy strategic supplier data 	http://data.gov.uk/dataset/govt-construction-strategy-strategic-supplier-data	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	GPS Strategic Supplier Key Performance Information  	http://data.gov.uk/dataset/gps-strategic-supplier-key-performance-information	Government Accountability and Democracy	Performance and Delivery
Cabinet Office	The Single Data List for central government departments (DCLG) 	http://data.gov.uk/dataset/single-data-list-for-central-government-departments	Government Accountability and Democracy	Performance and Delivery
Department for International Development	Results of aid projects (DfID)	http://www.data.gov.uk/dataset/info-dfid-aid-projects	Global Development	Performance and Delivery
Home Office	Street level crimes (Home Office) 	http://data.gov.uk/dataset/england-national-crime-mapping	Crime and Justice	Performance and Delivery
Crown Prosecution Service	Crown Prosecution Service Case Outcomes by Principal Offence Category Data 	http://www.data.gov.uk/dataset/crown-prosecution-service-case-outcomes-by-principal-offence-category-data	Crime and Justice	Performance and Delivery
Office for National Statistics	Crime statistics 	http://data.gov.uk/dataset/crime_statistics	Crime and Justice	Performance and Delivery
Ministry of Justice	Criminal justice statistics quarterly 	http://data.gov.uk/dataset/criminal_justice_system_statistics_quarterly	Crime and Justice	Performance and Delivery
Ministry of Justice	Re-offending statistics quarterly	http://data.gov.uk/dataset/re-offending_statistics_quarterly	Crime and Justice	Performance and Delivery
Ministry of Justice	Statistics on Deaths Reported to Coroners, England and Wales	http://data.gov.uk/dataset/statistics_on_deaths_reported_to_coroners_england_and_wales	Crime and Justice	Performance and Delivery
Ministry of Justice	Prison population and accommodation weekly bulletin 	http://data.gov.uk/dataset/prison_population_and_accommodation_weekly_bulletin	Crime and Justice	Performance and Delivery
Ministry of Justice	Safety in custody	http://data.gov.uk/dataset/safety_in_custody	Crime and Justice	Performance and Delivery
HM Inspectorate of Constabulary	Police value for money profiles	http://data.gov.uk/dataset/police-value-for-money	Crime and Justice	Performance and Delivery
HM Inspectorate of Constabulary	The Crime and Policing Comparator data 	http://data.gov.uk/dataset/crime-and-policing-comparator-data	Crime and Justice	Performance and Delivery
Home Office	National DNA database statistics	http://data.gov.uk/dataset/national-dna-database-quarterly-statistics	Crime and Justice	Performance and Delivery
Ministry of Justice	Tribunal Service quarterly statistics 	http://data.gov.uk/dataset/tribunal_service_quarterly_statistics	Crime and Justice	Performance and Delivery
Ministry of Justice	Youth justice statistics 	http://data.gov.uk/dataset/youth_justice_statistics	Crime and Justice	Performance and Delivery
Home Office	A summary of recorded crime data from 1898 to 2001/02 	http://www.data.gov.uk/dataset/recorded-crime-data-1898-2001-02	Crime and Justice	Performance and Delivery
Home Office	A summary of recorded crime data from 2002/03 to 2010/11 	http://data.gov.uk/dataset/recorded-crime-data-2002-03-2008-09	Crime and Justice	Performance and Delivery
Ministry of Justice	Court listings	http://data.gov.uk/dataset/court-listings	Crime and Justice	Performance and Delivery
